accountNumber,lastName,firstName,Age,Sex,customerMDN,Address,customerCity,customerState,customerZip,customerPlan,customerPlanDesc,userName
900000000,SIMMONS,JOSEPHINE,26,F,8963318257,18229 Chrisman Ave.,INGLEWOOD,CA,90301,1400POST5L90,1400 Minute Family,jsimmons
900000001,BLANKENSHIP,MICHELLE,22,F,5797987591,10457 Knickerson Blvd.,MEMPHIS,TN,38112,700POST5L70,700 Minute Family,mblankenship
900000002,MADDEN,ROBBIE,45,M,8137828577,17345 Walkhurst Ln.,BAKERSFIELD,CA,93308,ULPRE50,Unlimited Prepaid,rmadden
900000003,TERRY,ALISON,39,F,4815887609,4832 Skywalker Ranch St.,TOLEDO,OH,43612,ULPOST70,Unlimited,aterry
900000004,TANNER,ERNIE,61,M,4639448122,8593 North Ruff Ln.,SEATTLE,WA,98116,450POST40,450 Minute,etanner
900000005,CLEMENTS,COLE,21,M,2498226496,2966 Jefferies Hwy.,METAIRIE,LA,70002,1400POST5L90,1400 Minute Family,cclements
900000006,RUSH,SARAH,61,F,7876385789,14222 Barton Hall Ave.,DENVER,CO,80243,ULPRE50,Unlimited Prepaid,srush
900000007,MEADOWS,EDDIE,28,F,6808676165,9947 Laundess Blvd.,MIAMI,FL,33177,ULPRE50,Unlimited Prepaid,emeadows
900000008,TYSON,MABLE,53,F,7759327601,5719 South Central Ave.,EL PASO,TX,88553,450POST40,450 Minute,mtyson
900000009,WISE,THAD,64,M,6444812799,18848 Two Dells St.,BOISE,ID,83708,700POST5L70,700 Minute Family,twise
900000010,HOLMAN,MELISA,66,F,3753598063,15593 Ackworth St.,BOISE,ID,83707,ULPRE50,Unlimited Prepaid,mholman
900000011,OLSON,BRIGITTE,30,F,2562592067,11047 Wheeler Dr.,SPOKANE,WA,99203,900POST60,900 Minute,bolson
900000012,COPELAND,WAYNE,29,M,4688769760,17051 Laurelwalk St.,BRONX,NY,10475,250PRE25,250 Minute Prepaid,wcopeland
900000013,FULTON,IRVING,45,M,8036397816,3460 Mascalls St.,TOPEKA,KS,66601,450POST40,450 Minute,ifulton
900000014,DICKSON,MINDY,47,F,5137977783,18494 Old Tyngsboro Ln.,TACOMA,WA,98477,ULPRE50,Unlimited Prepaid,mdickson
