social,card
520253696,4556854736978651
652161105,4539356595796739
530568230,5146282449851342
235313592,5473079587721516
133625110,3550882176919875
481317425,4539739363627295
518641465,869993066372786
525439351,3509297197957907
308826465,3583765955191199
502287773,5457962162363624
538477361,4929674886893207
508138527,342314643214630
473426764,201482250154538
546549489,3515559297355551
750094477,869951535549905
003723599,342707426671167
083429717,869930627079641
216402345,869985871852457
506942025,3570614172352116
595744313,372233692008326
045161701,4539171613361212
424535843,30295915281489
212403082,869938870030757
419213372,371289234591139
136326474,36207318607586
231969540,869973202816458
038647069,5428476696199947
574497623,869975453070545
542521659,371767333558067
484331362,30259962766800
483156475,201476142877702
446309761,214996424954973
630641969,214963039783932
371098934,3536560745534388
524272848,30057548454499
770015541,4916081470985123
665124205,214936981667824
309048924,4532883990762252
395547038,5192616767520190
512581485,4929736800009796
574929004,5585002405665777
406309379,869955946969396
502138704,869998736469516
288588113,4485176333760985
264244346,6011521074043380
517140087,6011357981409475
652140074,30088112442438
645663678,4176756688046108
587065818,869945958313831
465635928,4913399371902713
750074056,214998185576193
367224970,376063703391643
601413704,3569040157665426
491863855,3560141487760462
034327105,869947650504071
309603295,201439620240983
587756955,4539139927078434
002701371,4716317339813730
694059291,3547223497718587
496764119,4929305852483448
222706559,869990217983966
029269571,36134283444169
222268750,5419310043825451
503466201,4556188165614887
528783440,869912494389204
499282873,869933350848745
462588030,347014973935870
136809846,201437418844131
656180043,6011499108781483
638962923,30313922772604
750033751,201461450282208
503055284,36238738753023
655074002,343248772174331
424544115,6011054084785527
222340524,371731181862419
650301560,376519406489117
524878557,4485823953473767
027622102,5508895005299184
267164122,379449436705836
653160925,6011008558337504
008644736,372871924288537
430160325,5268355131993366
485428919,3540726506227983
401883750,3594654046261582
402480290,6011915233388415
516279541,30300008154435
593194578,4168839801505083
663058927,3521430158342611
539130387,348930831561799
227835369,201458705534037
007586998,5579551520601479
530324796,3577725236708375
234205069,374718603269791
679108834,375529402142462
396098523,201400844169390
506045567,5349919987099074
048048459,3526110547627725
046044925,869990704157454
190702407,869967710649716
323748258,370021739069001
169444732,4916479901479924
264124161,5286151289010097
005986534,214978660310102
502585138,214964772121801
235375836,379792147479104
482242157,371119833330730
222541401,38092522817694
505526677,5499524255641355
420745982,6011514302554120
222262211,3528827616057876
519277349,346852331617644
504940004,5591394892851537
214927881,376305591474027
048225885,201439129162464
649306071,3550485509287877
689037875,6011787462773090
468785749,4916284873318203
574606607,214993481582433
393981353,372693585646567
442563146,6011141534963810
250310058,214937620939285
480031266,4916752999884753
535334091,344890378221427
476223755,6011547445035938
694059053,3525627870476918
146404830,201439435792574
422926561,38654525457578
658103213,869972950687731
447522032,5478723605217008
488282960,869964005918039
665070944,5341636871970313
420341598,869917935242979
517609366,3512727023210704
422807640,214992458870391
518057110,3569948084568945
664012066,3559407360045419
508054295,4485279493978320
008340810,6011388633158145
036164665,4556935711345907
022207859,6011743194302823
261051472,38320464188703
535471005,30221451350827
542224244,3594425566750639
021564831,214936775655605
507747264,376089877046721
554988011,869924351435160
430543075,214917020688088
248464473,4916874787637647
524406825,201463982018712
237780519,38811898364860
